player_name,team_abbreviation,age,player_height,player_weight,college,draft_year,season
yogiferrell,DAL,24,182.88,81.64656,Indiana,Undrafted,2016
zazapachulia,GSW,33,210.82,124.7378,None,2003,2016
zachrandolph,MEM,35,205.74,117.93392,Michigan State,2001,2016
zachlavine,MIN,22,195.58,83.91452,UCLA,2014,2016
tysonchandler,PHX,34,215.9,108.86208,None,2001,2016
tyrekeevans,SAC,27,198.12,99.79024,Memphis,2009,2016
williereed,MIA,27,210.82,111.13004,Saint Louis,Undrafted,2016
markieffmorris,WAS,27,208.28,111.13004,Kansas,2011,2016
mariohezonja,ORL,22,203.2,98.88305600000001,None,2015,2016
marcusthornton,WAS,30,193.04,92.98635999999999,Louisiana State,2009,2016
marcussmart,BOS,23,193.04,99.79024,Oklahoma State,2014,2016
marcusmorris,DET,27,205.74,106.59411999999999,Kansas,2011,2016
marcusgeorges-hunt,ORL,23,198.12,99.79024,Georgia Tech,Undrafted,2016
marcobelinelli,CHA,31,195.58,95.25431999999999,None,2007,2016
marcingortat,WAS,33,210.82,108.86208,None,2005,2016
marcelohuertas,LAL,34,190.5,90.7184,None,Undrafted,2016
marcgasol,MEM,32,215.9,115.66596000000001,None,2007,2016
manuginobili,SAS,39,198.12,92.98635999999999,None,1999,2016
mannyharris,DAL,27,195.58,83.91452,Michigan,Undrafted,2016
marquesechriss,PHX,19,208.28,105.68693600000002,Washington,2016,2016
malikbeasley,DEN,20,195.58,88.904032,Florida State,2016,2016
malcolmbrogdon,MIL,24,195.58,97.52228000000001,Virginia,2016,2016
malachirichardson,SAC,21,198.12,92.98635999999999,Syracuse,2016,2016
luoldeng,LAL,32,205.74,99.79024,Duke,2004,2016
lukebabbitt,MIA,28,205.74,102.0582,Nevada,2010,2016
luisscola,BKN,37,205.74,109.31567199999999,None,2002,2016
lucasnogueira,TOR,24,213.36,99.79024,None,2013,2016
lucmbahamoute,LAC,30,203.2,104.32616,UCLA,2008,2016
louwilliams,HOU,30,185.42,79.3786,None,2005,2016
leandrobarbosa,PHX,34,190.5,87.996848,None,2003,2016
lebronjames,CLE,32,203.2,113.398,None,2003,2016
lavoyallen,IND,28,205.74,117.93392,Temple,2011,2016
larrysanders,CLE,28,210.82,104.32616,Virginia Commonwealth,2010,2016
malcolmdelaney,ATL,28,190.5,86.18248,Virginia Tech,Undrafted,2016
larrynancejr.,LAL,24,205.74,104.32616,Wyoming,2015,2016
marreesespeights,LAC,29,208.28,115.66596000000001,Florida,2008,2016
marvinwilliams,CHA,31,205.74,107.501304,North Carolina,2005,2016
nerlensnoel,DAL,23,210.82,103.418976,Kentucky,2013,2016
nene,HOU,34,210.82,113.398,None,2002,2016
nemanjabjelica,MIN,29,208.28,102.0582,None,2010,2016
mylesturner,IND,21,210.82,110.22285600000001,Texas,2015,2016
montrezlharrell,HOU,23,203.2,108.86208,Louisville,2015,2016
montaellis,IND,31,190.5,83.91452,None,2005,2016
mirzateletovic,MIL,31,205.74,111.13004,None,Undrafted,2016
mindaugaskuzminskas,NYK,27,205.74,97.52228000000001,None,Undrafted,2016
milesplumlee,CHA,28,210.82,112.94440800000001,Duke,2012,2016
miketobey,CHA,22,213.36,117.93392,Virginia,Undrafted,2016
mikescott,ATL,28,203.2,107.501304,Virginia,2012,2016
mikemuscala,ATL,25,210.82,108.86208,Bucknell,2013,2016
marshallplumlee,NYK,24,213.36,113.398,Duke,Undrafted,2016
mikemiller,DEN,37,203.2,98.88305600000001,Florida,2000,2016
mikeconley,MEM,29,185.42,79.3786,Ohio State,2007,2016
michaelkidd-gilchrist,CHA,23,200.66,105.23334399999999,Kentucky,2012,2016
michaelgbinije,DET,25,200.66,90.7184,Syracuse,2016,2016
michaelcarter-williams,CHI,25,198.12,86.18248,Syracuse,2013,2016
michaelbeasley,MIL,28,208.28,106.59411999999999,Kansas State,2008,2016
meyersleonard,POR,25,215.9,115.66596000000001,Illinois,2012,2016
mettaworldpeace,LAL,37,200.66,117.93392,St. John's (NY),1999,2016
mauricendour,NYK,25,205.74,90.7184,Ohio U.,Undrafted,2016
mauriceharkless,POR,24,205.74,99.79024,St. John's (NY),2012,2016
matthewdellavedova,MIL,26,193.04,89.811216,Saint Mary's (CA),Undrafted,2016
mattbarnes,GSW,37,200.66,102.511792,UCLA,2002,2016
masonplumlee,DEN,27,210.82,115.66596000000001,Duke,2013,2016
mikedunleavy,ATL,36,205.74,104.32616,Duke,2002,2016
nickcollison,OKC,36,208.28,115.66596000000001,Kansas,2003,2016
langstongalloway,SAC,25,187.96,90.7184,Saint Joseph's,Undrafted,2016
lancestephenson,IND,26,195.58,104.32616,Cincinnati,2010,2016
justisewinslow,MIA,21,200.66,102.0582,Duke,2015,2016
justinholiday,NYK,28,198.12,83.91452,Washington,Undrafted,2016
justinharper,PHI,27,208.28,102.0582,Richmond,2011,2016
justinhamilton,BKN,27,213.36,115.66596000000001,Louisiana State,2012,2016
justinanderson,PHI,23,198.12,103.418976,Virginia,2015,2016
juliusrandle,LAL,22,205.74,113.398,Kentucky,2014,2016
juanchohernangomez,DEN,21,205.74,104.32616,None,2016,2016
jrueholiday,NOP,27,193.04,92.98635999999999,UCLA,2009,2016
joshrichardson,MIA,23,198.12,90.7184,Tennessee,2015,2016
joshmcroberts,MIA,30,208.28,108.86208,Duke,2007,2016
joshhuestis,OKC,25,200.66,104.32616,Stanford,2014,2016
josecalderon,ATL,35,190.5,90.7184,None,Undrafted,2016
jusufnurkic,POR,22,213.36,127.00576000000001,None,2014,2016
jordanmickey,BOS,22,203.2,106.59411999999999,Louisiana State,2015,2016
jordanhill,MIN,29,208.28,108.86208,Arizona,2009,2016
jordanfarmar,SAC,30,187.96,81.64656,UCLA,2006,2016
jordancrawford,NOP,28,195.58,88.45044,Xavier,2010,2016
jordanclarkson,LAL,25,195.58,87.996848,Missouri,2014,2016
jonathonsimmons,SAS,27,198.12,88.45044,Houston,Undrafted,2016
jonathangibson,DAL,29,187.96,83.91452,New Mexico State,Undrafted,2016
jonasvalanciunas,TOR,25,213.36,115.66596000000001,None,2011,2016
jonasjerebko,BOS,30,208.28,104.779752,None,2009,2016
jonleuer,DET,28,208.28,103.418976,Wisconsin,2011,2016
johnnyo'bryantiii,CHA,24,205.74,116.573144,Louisiana State,2014,2016
johnwall,WAS,26,193.04,95.25431999999999,Kentucky,2010,2016
johnlucasiii,MIN,34,180.34,75.296272,Oklahoma State,Undrafted,2016
jordanmcrae,CLE,26,195.58,81.19296800000001,Tennessee,2014,2016
lancethomas,NYK,29,203.2,106.59411999999999,Duke,Undrafted,2016
