player_name,team_abbreviation,age,player_height,player_weight,college,draft_year,season
salahmejri,DAL,31,218.44,111.13004,None,Undrafted,2016
pierrejackson,DAL,25,177.8,81.64656,Baylor,2013,2016
paulzipser,CHI,23,203.2,95.25431999999999,None,2016,2016
paulpierce,LAC,39,200.66,106.59411999999999,Kansas,1998,2016
paulmillsap,ATL,32,203.2,111.58363200000001,Louisiana Tech,2006,2016
paulgeorge,IND,27,205.74,99.79024,Fresno State,2010,2016
paugasol,SAS,36,213.36,113.398,None,2001,2016
pattymills,SAS,28,182.88,83.91452,Saint Mary's (CA),2009,2016
patrickpatterson,TOR,28,205.74,106.59411999999999,Kentucky,2010,2016
patrickmccaw,GSW,21,200.66,83.91452,Nevada-Las Vegas,2016,2016
patrickbeverley,HOU,28,185.42,83.91452,Arkansas,2009,2016
patriciogarino,ORL,24,198.12,92.079176,George Washington,Undrafted,2016
patconnaughton,POR,24,195.58,95.25431999999999,Notre Dame,2015,2016
quincyacy,BKN,26,200.66,108.86208,Baylor,2012,2016
pascalsiakam,TOR,23,205.74,104.32616,New Mexico State,2016,2016
ottoporterjr.,WAS,24,203.2,89.811216,Georgetown,2013,2016
omricasspi,MIN,29,205.74,102.0582,None,2009,2016
omerasik,NOP,30,213.36,115.66596000000001,None,2008,2016
okarowhite,MIA,24,203.2,92.532768,Florida State,Undrafted,2016
norriscole,OKC,28,187.96,79.3786,Cleveland State,2011,2016
normanpowell,TOR,24,193.04,97.52228000000001,UCLA,2015,2016
noahvonleh,POR,21,205.74,111.13004,Indiana,2014,2016
nikolavucevic,ORL,26,213.36,117.93392,Southern California,2011,2016
nikolamirotic,CHI,26,208.28,107.95489599999999,None,2011,2016
nikolajokic,DEN,22,208.28,113.398,None,2014,2016
nikstauskas,PHI,23,198.12,92.98635999999999,Michigan,2014,2016
nicolaslaprovittola,SAS,27,193.04,81.64656,None,Undrafted,2016
pjtucker,TOR,32,198.12,111.13004,Texas,2006,2016
samdekker,HOU,23,205.74,104.32616,Wisconsin,2015,2016
quinncook,NOP,24,187.96,81.19296800000001,Duke,Undrafted,2016
rajonrondo,CHI,31,185.42,84.368112,Kentucky,2006,2016
ryankelly,ATL,26,210.82,104.32616,Duke,2013,2016
ryananderson,HOU,29,208.28,108.86208,California,2008,2016
russellwestbrook,OKC,28,190.5,90.7184,UCLA,2008,2016
rudygobert,UTA,25,215.9,111.13004,None,2013,2016
rudygay,SAC,30,203.2,104.32616,Connecticut,2006,2016
royhibbert,DEN,30,218.44,122.46983999999999,Georgetown,2008,2016
ronnieprice,PHX,34,187.96,86.18248,Utah Valley,Undrafted,2016
rondaehollis-jefferson,BKN,22,200.66,97.068688,Arizona,2015,2016
ronbaker,NYK,24,193.04,99.79024,Wichita State,Undrafted,2016
rodneystuckey,IND,31,195.58,92.98635999999999,Eastern Washington,2007,2016
rodneymcgruder,MIA,25,193.04,92.98635999999999,Kansas State,Undrafted,2016
rodneyhood,UTA,24,203.2,93.439952,Duke,2014,2016
rjhunter,CHI,23,195.58,83.91452,Georgia State,2015,2016
robinlopez,CHI,29,213.36,115.66596000000001,Stanford,2008,2016
rickyrubio,MIN,26,193.04,86.18248,None,2009,2016
richaunholmes,PHI,23,208.28,111.13004,Bowling Green,2015,2016
richardjefferson,CLE,37,200.66,105.68693600000002,Arizona,2001,2016
reggiewilliams,NOP,30,198.12,92.98635999999999,Virginia Military Institute,Undrafted,2016
reggiejackson,DET,27,190.5,94.34713599999999,Boston College,2011,2016
reggiebullock,DET,26,200.66,92.98635999999999,North Carolina,2013,2016
raymondfelton,LAC,33,185.42,92.98635999999999,North Carolina,2005,2016
raulneto,UTA,25,185.42,81.19296800000001,None,2013,2016
rashadvaughn,MIL,20,198.12,91.625584,UNLV,2015,2016
randyfoye,BKN,33,193.04,98.88305600000001,Villanova,2006,2016
ramonsessions,CHA,31,190.5,86.18248,Nevada,2007,2016
rakeemchristmas,IND,25,205.74,113.398,Syracuse,2015,2016
robertcovington,PHI,26,205.74,97.52228000000001,Tennessee State,Undrafted,2016
johnhenson,MIL,26,210.82,103.872568,North Carolina,2012,2016
joffreylauvergne,CHI,25,210.82,99.79024,None,2013,2016
joelembiid,PHI,23,213.36,113.398,Kansas,2014,2016
chrisandersen,CLE,38,208.28,111.13004,Blinn,Undrafted,2016
chinanuonuaku,HOU,20,208.28,111.13004,Louisville,2016,2016
cheickdiallo,NOP,20,205.74,99.79024,Kansas,2016,2016
chassonrandle,NYK,24,187.96,83.91452,Stanford,Undrafted,2016
channingfrye,CLE,34,210.82,115.66596000000001,Arizona,2005,2016
chandlerparsons,MEM,28,208.28,104.32616,Florida,2011,2016
carmeloanthony,NYK,33,203.2,108.86208,Syracuse,2003,2016
carislevert,BKN,22,200.66,92.079176,Michigan,2016,2016
cameronpayne,CHI,22,190.5,83.91452,Murray State,2015,2016
cjwilcox,ORL,26,195.58,88.45044,Washington,2014,2016
cjmiles,IND,30,198.12,102.0582,None,2005,2016
cjmccollum,POR,25,190.5,86.18248,Lehigh,2013,2016
chrismccullough,WAS,22,205.74,97.52228000000001,Syracuse,2015,2016
c.j.watson,ORL,33,187.96,79.3786,Tennessee,Undrafted,2016
brynforbes,SAS,23,190.5,86.18248,Michigan State,Undrafted,2016
brunocaboclo,TOR,21,205.74,92.98635999999999,None,2014,2016
brooklopez,BKN,29,213.36,121.562656,Stanford,2008,2016
bricejohnson,LAC,23,208.28,104.32616,North Carolina,2016,2016
brianteweber,CHA,24,187.96,74.84268,Virginia Commonwealth,Undrafted,2016
brianroberts,CHA,31,185.42,78.471416,Dayton,Undrafted,2016
brandonrush,MIN,31,198.12,102.0582,Kansas,2008,2016
brandonknight,PHX,25,190.5,88.45044,Kentucky,2011,2016
brandonjennings,WAS,27,185.42,77.11064,None,2009,2016
brandoningram,LAL,19,205.74,86.18248,Duke,2016,2016
brandonbass,LAC,32,203.2,113.398,Louisiana State,2005,2016
brandanwright,MEM,29,208.28,95.25431999999999,North Carolina,2007,2016
buddyhield,SAC,23,193.04,97.068688,Oklahoma,2016,2016
bradleybeal,WAS,24,195.58,93.89354399999999,Florida,2012,2016
chrispaul,LAC,32,182.88,79.3786,Wake Forest,2005,2016
clintcapela,HOU,23,208.28,108.86208,None,2014,2016
davisbertans,SAS,24,208.28,95.25431999999999,None,2011,2016
davidwest,GSW,36,205.74,113.398,Xavier,2003,2016
davidnwaba,LAL,24,193.04,94.800728,None,Undrafted,2016
davidlee,SAS,34,205.74,111.13004,Florida,2005,2016
darrunhilliard,DET,24,198.12,92.98635999999999,Villanova,2015,2016
darrencollison,SAC,29,182.88,79.3786,UCLA,2009,2016
darrellarthur,DEN,29,205.74,106.59411999999999,Kansas,2008,2016
dariosaric,PHI,23,208.28,101.151016,None,2014,2016
danuelhouse,WAS,24,200.66,97.52228000000001,Texas A&M,Undrafted,2016
danteexum,UTA,21,198.12,86.18248,None,2014,2016
dantecunningham,NOP,30,203.2,104.32616,Villanova,2009,2016
dannygreen,SAS,30,198.12,97.52228000000001,North Carolina,2009,2016
christianwood,CHA,21,210.82,99.79024,Nevada-Las Vegas,Undrafted,2016
danilogallinari,DEN,28,208.28,102.0582,None,2008,2016
damjanrudez,ORL,31,208.28,103.418976,None,Undrafted,2016
damianlillard,POR,26,190.5,88.45044,Weber State,2012,2016
damianjones,GSW,22,213.36,111.13004,Vanderbilt,2016,2016
dahntayjones,CLE,36,198.12,102.0582,Duke,2003,2016
d.j.augustin,ORL,29,182.88,83.007336,Texas,2008,2016
d'angelorussell,LAL,21,195.58,88.45044,Ohio State,2015,2016
cristianofelicio,CHI,24,205.74,120.655472,None,Undrafted,2016
courtneylee,NYK,31,195.58,90.7184,Western Kentucky,2008,2016
coryjoseph,TOR,25,190.5,86.18248,Texas,2011,2016
coreybrewer,LAL,31,205.74,84.368112,Florida,2007,2016
colealdrich,MIN,28,210.82,113.398,Kansas,2010,2016
codyzeller,CHA,24,213.36,108.86208,Indiana,2013,2016
danielochefu,WAS,23,210.82,111.13004,Villanova,Undrafted,2016
deandrejordan,LAC,28,210.82,120.20188,Texas A&M,2008,2016
borisdiaw,UTA,35,203.2,113.398,None,2003,2016
bobbyportis,CHI,22,210.82,111.58363200000001,Arkansas,2015,2016
alexisajinca,NOP,29,218.44,112.490816,None,2008,2016
alexpoythress,PHI,23,200.66,107.95489599999999,Kentucky,Undrafted,2016
alexlen,PHX,24,215.9,117.93392,Maryland,2013,2016
alexabrines,OKC,23,198.12,86.18248,None,2013,2016
alecburks,UTA,25,198.12,97.068688,Colorado,2011,2016
alanwilliams,PHX,24,203.2,117.93392,California-Santa Barbara,Undrafted,2016
alananderson,LAC,34,198.12,99.79024,Michigan State,Undrafted,2016
al-farouqaminu,POR,26,205.74,99.79024,Wake Forest,2010,2016
aljefferson,IND,32,208.28,131.088088,None,2004,2016
alhorford,BOS,31,208.28,111.13004,Florida,2007,2016
adreianpayne,MIN,26,208.28,107.501304,Michigan State,2014,2016
aaronharrison,CHA,22,198.12,95.25431999999999,Kentucky,Undrafted,2016
allencrabbe,POR,25,198.12,97.52228000000001,California,2013,2016
aarongordon,ORL,21,205.74,99.79024,Arizona,2014,2016
ajhammons,DAL,24,213.36,117.93392,Purdue,2016,2016
tyusjones,MIN,21,187.96,88.45044,Duke,2015,2016
udonishaslem,MIA,37,203.2,106.59411999999999,Florida,Undrafted,2016
victoroladipo,OKC,25,193.04,95.25431999999999,Indiana,2013,2016
vincecarter,MEM,40,198.12,99.79024,North Carolina,1998,2016
wadebaldwiniv,MEM,21,193.04,91.625584,Vanderbilt,2016,2016
wayneellington,MIA,29,193.04,90.7184,North Carolina,2009,2016
wayneselden,MEM,22,195.58,104.32616,Kansas,Undrafted,2016
wesleyjohnson,LAC,29,200.66,97.52228000000001,Syracuse,2010,2016
wesleymatthews,DAL,30,195.58,99.79024,Marquette,Undrafted,2016
willbarton,DEN,26,198.12,79.3786,Memphis,2012,2016
williecauley-stein,SAC,23,213.36,108.86208,Kentucky,2015,2016
aaronbrooks,IND,32,182.88,73.028312,Oregon,2007,2016
bojanbogdanovic,WAS,28,203.2,102.0582,None,2011,2016
alonzogee,DEN,30,198.12,102.0582,Alabama,Undrafted,2016
andersonvarejao,GSW,34,210.82,123.83061599999999,None,2004,2016
bobbybrown,HOU,32,187.96,79.3786,Cal State-Fullerton,Undrafted,2016
bobanmarjanovic,DET,28,220.98,131.54168,None,Undrafted,2016
blakegriffin,LAC,28,208.28,113.851592,Oklahoma,2009,2016
bismackbiyombo,ORL,24,205.74,115.66596000000001,None,2011,2016
benoudrih,DET,34,190.5,92.98635999999999,None,2004,2016
benmclemore,SAC,24,195.58,88.45044,Kansas,2013,2016
benbentil,DAL,22,205.74,106.59411999999999,Providence,2016,2016
axeltoupane,NOP,24,200.66,95.25431999999999,None,Undrafted,2016
averybradley,BOS,26,187.96,81.64656,Texas,2010,2016
austinrivers,LAC,24,193.04,90.7184,Duke,2012,2016
arronafflalo,SAC,31,195.58,95.25431999999999,UCLA,2007,2016
aronbaynes,DET,30,208.28,117.93392,Washington State,Undrafted,2016
amirjohnson,BOS,30,205.74,108.86208,None,2005,2016
arinzeonuaku,ORL,29,205.74,115.66596000000001,Syracuse,Undrafted,2016
anthonytolliver,SAC,32,203.2,108.86208,Creighton,Undrafted,2016
anthonymorrow,CHI,31,195.58,95.25431999999999,Georgia Tech,Undrafted,2016
anthonydavis,NOP,24,210.82,114.758776,Kentucky,2012,2016
anthonybrown,ORL,24,200.66,95.707912,Stanford,2015,2016
anthonybennett,BKN,24,203.2,106.59411999999999,Nevada-Las Vegas,2013,2016
andrewwiggins,MIN,22,203.2,90.264808,Kansas,2014,2016
andrewnicholson,BKN,27,205.74,113.398,St. Bonaventure,2012,2016
andrewharrison,MEM,22,198.12,96.615096,Kentucky,2015,2016
andrewbogut,CLE,32,213.36,117.93392,Utah,2005,2016
andreroberson,OKC,25,200.66,95.25431999999999,Colorado,2013,2016
andreiguodala,GSW,33,198.12,97.52228000000001,Arizona,2004,2016
andredrummond,DET,23,210.82,126.552168,Connecticut,2012,2016
archiegoodwin,BKN,22,195.58,92.98635999999999,Kentucky,2013,2016
deandreliggins,DAL,29,198.12,94.800728,Kentucky,2011,2016
deandre'bembry,ATL,22,198.12,95.25431999999999,Saint Joseph's,2016,2016
demarderozan,TOR,27,200.66,99.79024,Southern California,2009,2016
jamesjohnson,MIA,30,205.74,113.398,Wake Forest,2009,2016
jamesharden,HOU,27,195.58,99.79024,Arizona State,2009,2016
jamesennisiii,MEM,26,200.66,95.25431999999999,Long Beach State,2013,2016
jameernelson,DEN,35,182.88,86.18248,Saint Joseph's,2004,2016
jamalmurray,DEN,20,193.04,93.89354399999999,Kentucky,2016,2016
jamalcrawford,LAC,37,195.58,88.45044,Michigan,2000,2016
jakobpoeltl,TOR,21,213.36,104.32616,Utah,2016,2016
jakelayman,POR,23,205.74,95.25431999999999,Maryland,2016,2016
jahlilokafor,PHI,21,210.82,124.7378,Duke,2015,2016
jaecrowder,BOS,26,198.12,106.59411999999999,Marquette,2012,2016
jabariparker,MIL,22,203.2,113.398,Duke,2014,2016
javalemcgee,GSW,29,213.36,122.46983999999999,Nevada,2008,2016
jamesjones,CLE,36,203.2,98.88305600000001,Miami (FL),2003,2016
jamychalgreen,MEM,27,205.74,102.965384,Alabama,Undrafted,2016
jjredick,LAC,33,193.04,86.18248,Duke,2006,2016
j.j.barea,DAL,33,182.88,83.91452,Northeastern,Undrafted,2016
ivicazubac,LAL,20,215.9,108.86208,None,2016,2016
ishsmith,DET,28,182.88,79.3786,Wake Forest,Undrafted,2016
isaiahwhitehead,BKN,22,193.04,96.615096,Seton Hall,2016,2016
isaiahthomas,BOS,28,175.26,83.91452,Washington,2011,2016
isaiahtaylor,HOU,22,190.5,77.11064,Texas,Undrafted,2016
isaiahcanaan,CHI,26,182.88,91.171992,Murray State,2013,2016
imanshumpert,CLE,27,195.58,99.79024,Georgia Tech,2011,2016
ianmahinmi,WAS,30,210.82,118.841104,None,2005,2016
ianclark,GSW,26,190.5,79.3786,Belmont,Undrafted,2016
hollisthompson,NOP,26,203.2,93.439952,Georgetown,Undrafted,2016
jrsmith,CLE,31,198.12,102.0582,None,2004,2016
henryellenson,DET,20,210.82,111.13004,Marquette,2016,2016
jamesmichaelmcadoo,GSW,24,205.74,108.86208,North Carolina,Undrafted,2016
jareddudley,PHX,31,200.66,102.0582,Boston College,2007,2016
joelbolomboy,UTA,23,205.74,106.59411999999999,Weber State,2016,2016
joelanthony,SAS,34,205.74,111.13004,Nevada-Las Vegas,Undrafted,2016
joeyoung,IND,25,187.96,81.64656,Oregon,2015,2016
joejohnson,UTA,36,200.66,108.86208,Arkansas,2001,2016
joeingles,UTA,29,203.2,102.511792,None,Undrafted,2016
joeharris,BKN,25,198.12,99.336648,Virginia,2014,2016
jodiemeeks,ORL,29,193.04,95.25431999999999,Kentucky,2009,2016
joakimnoah,NYK,32,210.82,104.32616,Florida,2007,2016
jimmybutler,CHI,27,200.66,104.779752,Marquette,2011,2016
jerrydbayless,PHI,28,190.5,90.7184,Arizona,2008,2016
jeriangrant,CHI,24,193.04,89.811216,Notre Dame,2015,2016
jeremylin,BKN,28,190.5,90.7184,Harvard,Undrafted,2016
jamesyoung,BOS,21,198.12,97.52228000000001,Kentucky,2014,2016
jeremylamb,CHA,25,195.58,83.91452,Connecticut,2012,2016
jeffwithey,UTA,27,213.36,104.779752,Kansas,2013,2016
jeffteague,IND,29,187.96,84.368112,Wake Forest,2009,2016
jeffgreen,ORL,30,205.74,106.59411999999999,Georgetown,2007,2016
jaylenbrown,BOS,20,200.66,102.0582,California,2016,2016
jasonterry,MIL,39,187.96,83.91452,Arizona,1999,2016
jasonsmith,WAS,31,213.36,108.86208,Colorado State,2007,2016
jarroduthoff,DAL,24,205.74,100.243832,Iowa,Undrafted,2016
jarrettjack,NOP,33,190.5,90.7184,Georgia Tech,2005,2016
jarnellstokes,DEN,23,205.74,115.66596000000001,Tennessee,2014,2016
jarellmartin,MEM,23,208.28,108.40848799999999,Louisiana State,2015,2016
jarelleddie,PHX,25,200.66,98.88305600000001,Virginia Tech,Undrafted,2016
jaredsullinger,TOR,25,205.74,117.93392,Ohio State,2012,2016
jeramigrant,OKC,23,205.74,95.25431999999999,Syracuse,2014,2016
