player_name,player_position,player_team_abbreviation,player_pts,player_trb,player_ast,player_stl,player_blk,player_fg_pct,player_threept_pct,player_ft_pct
jordanclarkson,SG,LAL,14.7,3.0,2.6,1.1,0.1,0.445,0.32899999999999996,0.7979999999999999
khrismiddleton,SF,MIL,14.7,4.2,3.4,1.4,0.2,0.45,0.433,0.88
nikolavucevic,C,ORL,14.6,10.4,2.8,1.0,1.0,0.46799999999999997,0.307,0.669
reggiejackson,PG,DET,14.5,2.2,5.2,0.7,0.1,0.419,0.359,0.868
jeremylin,PG,BKN,14.5,3.8,5.1,1.2,0.4,0.43799999999999994,0.37200000000000005,0.816
mylesturner,C,IND,14.5,7.3,1.3,0.9,2.1,0.511,0.348,0.809
eneskanter,C,OKC,14.3,6.7,0.9,0.4,0.5,0.545,0.132,0.7859999999999999
dirknowitzki,PF,DAL,14.2,6.5,1.5,0.6,0.7,0.43700000000000006,0.37799999999999995,0.875
jordancrawford,SG,NO,14.1,1.8,3.0,0.6,0.1,0.48200000000000004,0.389,0.769
zachrandolph,PF,MEM,14.1,8.2,1.7,0.5,0.1,0.449,0.223,0.731
rudygobert,C,UTAH,14.0,12.8,1.2,0.6,2.6,0.6609999999999999,0.0,0.653
alhorford,C,BOS,14.0,6.8,5.0,0.8,1.3,0.473,0.355,0.8
marcusmorris,SF,DET,14.0,4.6,2.0,0.7,0.3,0.418,0.331,0.784
markieffmorris,PF,WSH,14.0,6.5,1.7,1.1,0.6,0.457,0.36200000000000004,0.8370000000000001
jaecrowder,SF,BOS,13.9,5.8,2.2,1.0,0.3,0.46299999999999997,0.39799999999999996,0.8109999999999999
kentaviouscaldwellpope,SG,DET,13.8,3.3,2.5,1.2,0.2,0.39899999999999997,0.35,0.8320000000000001
willbarton,SG,DEN,13.7,4.3,3.4,0.8,0.5,0.44299999999999995,0.37,0.753
bojanbogdanovic,SF,BKN/WSH,13.7,3.4,1.4,0.4,0.1,0.445,0.36700000000000005,0.893
tylerjohnson,PG,MIA,13.7,4.0,3.2,1.2,0.6,0.433,0.37200000000000005,0.768
ryananderson,PF,HOU,13.6,4.6,0.9,0.4,0.2,0.418,0.40299999999999997,0.86
andredrummond,C,DET,13.6,13.8,1.1,1.5,1.1,0.53,0.28600000000000003,0.386
dwighthoward,C,ATL,13.5,12.7,1.4,0.9,1.2,0.633,0.0,0.5329999999999999
wesleymatthews,SG,DAL,13.5,3.5,2.9,1.1,0.2,0.39299999999999996,0.363,0.816
darrencollison,PG,SAC,13.2,2.2,4.6,1.0,0.1,0.47600000000000003,0.41700000000000004,0.86
juliusrandle,PF,LAL,13.2,8.6,3.6,0.7,0.5,0.488,0.27,0.723
nickyoung,SG,LAL,13.2,2.3,1.0,0.6,0.2,0.43,0.40399999999999997,0.856
ersanilyasova,PF,ATL/PHI/OKC,13.1,5.9,1.7,0.7,0.3,0.431,0.353,0.778
seankilpatrick,SG,BKN,13.1,4.0,2.2,0.6,0.1,0.415,0.341,0.843
robertcovington,SF,PHI,12.9,6.5,1.5,1.9,1.0,0.39899999999999997,0.33299999999999996,0.8220000000000001
sethcurry,PG,DAL,12.8,2.6,2.7,1.1,0.1,0.48100000000000004,0.425,0.85
jamesjohnson,PF,MIA,12.8,4.9,3.6,1.0,1.1,0.479,0.34,0.7070000000000001
elfridpayton,PG,ORL,12.8,4.7,6.5,1.1,0.5,0.47100000000000003,0.27399999999999997,0.6920000000000001
dariosaric,PF,PHI,12.8,6.3,2.2,0.7,0.4,0.41100000000000003,0.311,0.782
aarongordon,SF,ORL,12.7,5.1,1.9,0.8,0.5,0.45399999999999996,0.28800000000000003,0.7190000000000001
rodneyhood,SG,UTAH,12.7,3.4,1.6,0.6,0.2,0.408,0.371,0.7829999999999999
deandrejordan,C,LAC,12.7,13.8,1.2,0.6,1.7,0.7140000000000001,0.0,0.48200000000000004
clintcapela,C,HOU,12.6,8.1,1.0,0.5,1.2,0.643,,0.531
paugasol,C,SA,12.4,7.8,2.3,0.4,1.1,0.502,0.5379999999999999,0.7070000000000001
jamalcrawford,SG,LAC,12.3,1.6,2.6,0.7,0.2,0.413,0.36,0.857
austinrivers,SG,LAC,12.0,2.2,2.8,0.6,0.1,0.442,0.371,0.691
jonasvalanciunas,C,TOR,12.0,9.5,0.7,0.5,0.8,0.557,0.5,0.8109999999999999
jahlilokafor,C,PHI,11.8,4.8,1.2,0.4,1.0,0.514,,0.6709999999999999
trevorariza,SF,HOU,11.7,5.7,2.2,1.8,0.3,0.409,0.344,0.738
frankkaminsky,C,CHA,11.7,4.5,2.2,0.6,0.5,0.39899999999999997,0.32799999999999996,0.7559999999999999
gregmonroe,C,MIL,11.7,6.6,2.3,1.1,0.5,0.5329999999999999,0.0,0.741
stevenadams,C,OKC,11.3,7.7,1.1,1.1,1.0,0.5710000000000001,0.0,0.611
marvinwilliams,PF,CHA,11.2,6.6,1.4,0.8,0.7,0.42200000000000004,0.35,0.873
rickyrubio,PG,MIN,11.1,4.1,9.1,1.7,0.1,0.402,0.306,0.8909999999999999
jerrydbayless,PG,PHI,11.0,4.0,4.3,0.0,0.0,0.344,0.4,0.9
kentbazemore,SF,ATL,11.0,3.2,2.4,1.2,0.7,0.409,0.34600000000000003,0.708
brandonknight,SG,PHX,11.0,2.2,2.4,0.5,0.1,0.39799999999999996,0.324,0.857
emmanuelmudiay,PG,DEN,11.0,3.2,3.9,0.7,0.2,0.377,0.315,0.784
terrenceross,SF,ORL/TOR,11.0,2.6,1.1,1.1,0.4,0.43700000000000006,0.363,0.831
deronwilliams,PG,CLE/DAL,11.0,2.3,5.6,0.5,0.1,0.43799999999999994,0.363,0.826
