,Rk,PLAYER,POSITION,TEAM,POINTS,TRB,AST,STL,BLK,FG%,3P%,FT%,FGA,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TOV,PF,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W
61,64,Serge Ibaka,PF,ORL/TOR,14.8,6.8,0.9,0.5,1.6,0.48,0.391,0.856,12.4,1.6,4,4.4,8.4,0.522,0.543,1.4,1.6,1.6,5.2,1.3,2.7,79,30.7,-0.51,1.08,0.57,5.7,10.6,97.87,37
62,65,Jordan Clarkson,SG,LAL,14.7,3,2.6,1.1,0.1,0.445,0.329,0.798,13.1,1.4,4.3,4.4,8.7,0.503,0.5,1.6,2,0.6,2.4,2,1.8,82,29.2,-0.63,-3.39,-4.02,-1.4,8.4,101.34,26
63,66,Khris Middleton,SF,MIL,14.7,4.2,3.4,1.4,0.2,0.45,0.433,0.88,11.5,1.6,3.6,3.6,7.9,0.459,0.518,2.8,3.2,0.4,3.9,2.2,2.7,29,30.7,0.14,1.26,1.4,2.44,10.4,94.63,19
64,67,Nikola Vucevic,C,ORL,14.6,10.4,2.8,1,1,0.468,0.307,0.669,13.7,0.3,1,6.1,12.7,0.481,0.48,1.4,2.1,2.3,8,1.6,2.4,75,28.8,-1.38,2.15,0.77,5.44,14.2,100.74,27
65,69,Reggie Jackson,PG,DET,14.5,2.2,5.2,0.7,0.1,0.419,0.359,0.868,13,1.3,3.5,4.2,9.5,0.442,0.468,2.3,2.6,0.4,1.8,2.2,2.5,52,27.4,-0.59,-2.94,-3.53,-0.36,9.2,96.85,23
66,70,Jeremy Lin,PG,BKN,14.5,3.8,5.1,1.2,0.4,0.438,0.372,0.816,11.1,1.6,4.3,3.3,6.8,0.48,0.51,3.2,3.9,0.3,3.4,2.4,2.2,36,24.5,0.48,-0.03,0.45,2.21,13.1,106.86,13
67,71,Myles Turner,C,IND,14.5,7.3,1.3,0.9,2.1,0.511,0.348,0.809,10.7,0.5,1.4,5,9.3,0.536,0.534,3,3.7,1.7,5.6,1.3,3.2,81,31.4,0.09,2.57,2.66,9.31,11.2,98.5,42
68,73,Enes Kanter,C,OKC,14.3,6.7,0.9,0.4,0.5,0.545,0.132,0.786,10.2,0.1,0.5,5.5,9.7,0.568,0.549,3.1,4,2.7,4,1.7,2.1,72,21.3,0.56,-1.24,-0.68,2.4,15.4,99.17,43
69,74,Dirk Nowitzki,PF,DAL,14.2,6.5,1.5,0.6,0.7,0.437,0.378,0.875,12.6,1.5,3.9,4,8.7,0.463,0.495,1.8,2.1,0.4,6.1,0.9,2.1,54,26.4,-0.38,0.64,0.26,3.02,12.4,96.06,23
70,75,Jordan Crawford,SG,NO,14.1,1.8,3,0.6,0.1,0.482,0.389,0.769,11.5,1.9,5,3.6,6.5,0.553,0.567,1.1,1.4,0.2,1.6,1.3,1.6,19,23.3,0.82,-2.48,-1.66,0.38,10.2,98.47,9
71,76,Zach Randolph,PF,MEM,14.1,8.2,1.7,0.5,0.1,0.449,0.223,0.731,13.2,0.3,1.3,5.6,11.9,0.474,0.46,1.9,2.6,2.5,5.7,1.4,1.9,73,24.5,-0.37,-1.05,-1.42,1.83,15.2,94.36,38
72,77,Rudy Gobert,C,UTAH,14,12.8,1.2,0.6,2.6,0.661,0,0.653,7.7,0,0,5.1,7.7,0.662,0.661,3.8,5.9,3.9,8.9,1.8,3,81,33.9,0.35,6.02,6.37,15.55,16.1,93.11,51
73,78,Al Horford,C,BOS,14,6.8,5,0.8,1.3,0.473,0.355,0.8,11.8,1.3,3.6,4.3,8.2,0.524,0.527,1.6,2,1.4,5.4,1.7,2,68,32.3,0.76,1.06,1.82,6.93,12.5,98.96,46
74,79,Marcus Morris,SF,DET,14,4.6,2,0.7,0.3,0.418,0.331,0.784,12.7,1.5,4.5,3.8,8.2,0.466,0.477,1.8,2.3,1,3.7,1.1,2.1,79,32.5,-0.11,0.63,0.52,5.85,8,97.01,36
75,80,Markieff Morris,PF,WSH,14,6.5,1.7,1.1,0.6,0.457,0.362,0.837,11.7,0.9,2.6,4.4,9.1,0.483,0.497,2.4,2.8,1.4,5.1,1.7,3.3,76,31.2,-0.55,2.41,1.86,7.61,8.9,100.12,45
76,81,Jae Crowder,SF,BOS,13.9,5.8,2.2,1,0.3,0.463,0.398,0.811,10,2.2,5.5,2.4,4.5,0.54,0.572,2.4,3,0.7,5.1,1.1,2.2,72,32.4,2.2,1.69,3.89,10.52,10.3,99.94,48
77,82,Kentavious Caldwell Pope,SG,DET,13.8,3.3,2.5,1.2,0.2,0.399,0.35,0.832,12.2,2,5.8,2.9,6.5,0.442,0.481,2,2.4,0.7,2.5,1.1,1.6,76,33.3,0.71,-1.31,-0.6,4.02,7.8,97.61,33
78,83,Will Barton,SG,DEN,13.7,4.3,3.4,0.8,0.5,0.443,0.37,0.753,11.1,1.5,3.9,3.5,7.2,0.483,0.508,2.4,3.2,1,3.4,1.6,1.8,60,28.4,0.05,-1.2,-1.15,2.2,10.2,100.14,31
79,84,Bojan Bogdanovic,SF,BKN/WSH,13.7,3.4,1.4,0.4,0.1,0.445,0.367,0.893,10.4,1.8,4.8,2.9,5.6,0.512,0.53,2.7,3,0.5,3,1.6,1.8,81,25.7,-0.46,-3.42,-3.88,-1.04,9.1,102.76,23
80,85,Tyler Johnson,PG,MIA,13.7,4,3.2,1.2,0.6,0.433,0.372,0.768,11.3,1.3,3.4,3.6,7.9,0.46,0.49,2.7,3.5,0.7,3.3,1.2,2.4,73,29.8,0.13,0.18,0.31,4.72,10.8,98.21,35
81,86,Ryan Anderson,PF,HOU,13.6,4.6,0.9,0.4,0.2,0.418,0.403,0.86,10.7,2.8,7,1.7,3.7,0.446,0.55,1.8,2.1,1.6,3,0.8,2,72,29.4,1.63,-0.12,1.51,6.46,7.9,101.8,50
82,87,Andre Drummond,C,DET,13.6,13.8,1.1,1.5,1.1,0.53,0.286,0.386,11.2,0,0.1,5.9,11.2,0.532,0.531,1.7,4.4,4.3,9.5,1.9,2.9,81,29.7,-1.8,1.55,-0.25,4.33,13.6,96.5,36
83,88,Dwight Howard,C,ATL,13.5,12.7,1.4,0.9,1.2,0.633,0,0.533,8.3,0,0,5.2,8.3,0.635,0.633,3.1,5.7,4,8.7,2.3,2.7,74,29.7,-1.7,2.6,0.9,5.65,15.1,99.8,37
84,89,Wesley Matthews,SG,DAL,13.5,3.5,2.9,1.1,0.2,0.393,0.363,0.816,11.6,2.4,6.6,2.2,5,0.432,0.496,2,2.5,0.2,3.3,1.4,2.2,73,34.2,0.09,0.11,0.2,5.06,8.1,94.04,29
85,91,Darren Collison,PG,SAC,13.2,2.2,4.6,1,0.1,0.476,0.417,0.86,10.5,1.1,2.6,3.9,7.9,0.495,0.527,2.2,2.5,0.3,1.9,1.7,1.8,68,30.3,1.06,-1.47,-0.41,3.44,10,96.23,26
86,92,Julius Randle,PF,LAL,13.2,8.6,3.6,0.7,0.5,0.488,0.27,0.723,10.4,0.2,0.9,4.9,9.6,0.507,0.499,2.8,3.8,2,6.6,2.3,3.4,74,28.8,-0.79,-1.03,-1.82,1.83,11.3,100.9,24
87,93,Nick Young,SG,LAL,13.2,2.3,1,0.6,0.2,0.43,0.404,0.856,10.6,2.8,7,1.7,3.5,0.481,0.564,1.3,1.5,0.4,1.9,0.6,2.3,60,25.9,2.28,-1.63,0.65,3.82,7.5,100.59,19
88,94,Ersan Ilyasova,PF,ATL/PHI/OKC,13.1,5.9,1.7,0.7,0.3,0.431,0.353,0.778,10.9,1.7,4.9,3,6,0.496,0.511,2,2.5,1.4,4.5,1.4,2.6,82,26.1,0.98,0.74,1.72,6.83,10.6,101.47,35
89,95,Sean Kilpatrick,SG,BKN,13.1,4,2.2,0.6,0.1,0.415,0.341,0.843,10.5,1.5,4.4,2.9,6.1,0.468,0.486,2.9,3.5,0.3,3.7,1.9,1.7,70,25.1,-0.07,-2.36,-2.43,0.81,9.9,103.54,14
90,96,Robert Covington,SF,PHI,12.9,6.5,1.5,1.9,1,0.399,0.333,0.822,10.9,2,6.1,2.3,4.8,0.484,0.492,2.1,2.6,1.4,5.1,2,3,67,31.6,-0.77,4.32,3.55,9.23,9.1,101.81,27
91,97,Seth Curry,PG,DAL,12.8,2.6,2.7,1.1,0.1,0.481,0.425,0.85,10,2,4.6,2.9,5.4,0.528,0.578,1.2,1.4,0.4,2.2,1.3,1.8,70,29,0.52,0.01,0.53,4.51,10.3,93.53,30
92,98,James Johnson,PF,MIA,12.8,4.9,3.6,1,1.1,0.479,0.34,0.707,10.1,1.1,3.4,3.7,6.8,0.548,0.535,2,2.8,0.9,4.1,2.3,2.6,76,27.4,0.42,1.94,2.36,7.31,12,98.7,40
93,99,Elfrid Payton,PG,ORL,12.8,4.7,6.5,1.1,0.5,0.471,0.274,0.692,11.1,0.5,1.8,4.8,9.3,0.509,0.493,1.8,2.6,1.1,3.6,2.2,2.2,82,29.4,1.12,-0.78,0.34,5.38,11.7,100.23,29
94,100,Dario Saric,PF,PHI,12.8,6.3,2.2,0.7,0.4,0.411,0.311,0.782,11.4,1.3,4.2,3.4,7.2,0.469,0.468,2.1,2.7,1.4,5,2.3,2,81,26.3,-1.25,-0.62,-1.87,1.74,10.3,101.53,28
95,101,Aaron Gordon,SF,ORL,12.7,5.1,1.9,0.8,0.5,0.454,0.288,0.719,10.8,1,3.3,4,7.5,0.528,0.499,2,2.7,1.5,3.6,1.1,2.2,80,28.7,1.25,-0.78,0.47,5.32,8.8,99.7,29
96,102,Rodney Hood,SG,UTAH,12.7,3.4,1.6,0.6,0.2,0.408,0.371,0.783,11.3,1.9,5.2,2.7,6.1,0.44,0.494,1.5,1.9,0.3,3.2,1.1,2.2,59,27,-0.26,-0.51,-0.77,2.23,8.6,93.25,40
97,103,DeAndre Jordan,C,LAC,12.7,13.8,1.2,0.6,1.7,0.714,0,0.482,7.1,0,0,5.1,7.1,0.717,0.714,2.5,5.2,3.7,10.1,1.4,2.6,81,31.7,1.11,3.44,4.55,12.59,15,98.43,51
98,104,Clint Capela,C,HOU,12.6,8.1,1,0.5,1.2,0.643,,0.531,8.7,0,0,5.6,8.7,0.643,0.643,1.4,2.7,2.7,5.4,1.3,2.8,65,23.9,-1.47,1.12,-0.35,2.82,13,101.19,44
99,105,Pau Gasol,C,SA,12.4,7.8,2.3,0.4,1.1,0.502,0.538,0.707,9.4,0.9,1.6,3.9,7.8,0.494,0.548,2,2.9,1.7,6.2,1.3,1.7,64,25.4,0.86,1.49,2.35,5.48,14.3,95.48,47
100,106,Jamal Crawford,SG,LAC,12.3,1.6,2.6,0.7,0.2,0.413,0.36,0.857,10.6,1.4,3.9,3,6.7,0.443,0.479,2.1,2.5,0.2,1.4,1.6,1.4,82,26.3,-0.06,-3.18,-3.24,-0.16,7.9,98.53,51
